eig1   eig2   A
(-0.11644639188+0j) (-0.695603313796+0j) 0.26895
(-0.718336781166+0j) (-0.11276117024+0j) 0.26896
(-0.734478746387+0j) (-0.110282967981+0j) 0.26897
(-0.104886541154+0j) (-0.772267777917+0j) 0.26898
(-0.102703317626+0j) (-0.788684318515+0j) 0.26899
(-0.819524429771+0j) (-0.0988384154614+0j) 0.269
(-0.828335971732+0j) (-0.0977870077305+0j) 0.26901
(-0.0906359950706+0j) (-0.893690150444+0j) 0.26902
(-0.0943792601617+0j) (-0.85824466024+0j) 0.26903
(-0.936634256201+0j) (-0.0864803903275+0j) 0.26904
(-0.917396196481+0j) (-0.0882939087622+0j) 0.26905
(-0.0729351477048+0j) (-1.11058246428+0j) 0.26906
(-0.0908424896202+0j) (-0.891658698588+0j) 0.26907
(-1.14134987967+0j) (-0.0709690319447+0j) 0.26908
(0.85796887747+0j) (0.00764798896182+0j) 0.26909
(0.00843102381085+0j) (0.77828466052+0j) 0.2691
(0.00732058842299+0j) (0.896340037907+0j) 0.26911
(0.627269599693+0j) (0.0104607915127+0j) 0.26912
(0.535782593347+0j) (0.0122470132214+0j) 0.26913
(0.0127444340304+0j) (0.514870765449+0j) 0.26914
(0.333885594492+0j) (0.019652649329+0j) 0.26915
(0.232958464406+0j) (0.0281669804154+0j) 0.26916
(0.0978085278645+0j) (0.0670875704586+0j) 0.26917
(0.0366582604719+0.0722350914975j) (0.0366582604719-0.0722350914975j) 0.26918
(-0.0135857425012+0.0798571481162j) (-0.0135857425012-0.0798571481162j) 0.26919
(-0.0588786913822+0.0556330495525j) (-0.0588786913822-0.0556330495525j) 0.2692
(-0.046280457828+0j) (-0.141782013727+0j) 0.26921
(-0.0221894274079+0j) (-0.295714548367+0j) 0.26922
(-0.0164141404244+0j) (-0.39976120192+0j) 0.26923
(-0.0130192158682+0j) (-0.504003971714+0j) 0.26924
(-0.0114186720161+0j) (-0.574649705359+0j) 0.26925
(-0.00883253651549+0j) (-0.742905109192+0j) 0.26926
(-0.00873773404577+0j) (-0.750965464286+0j) 0.26927
(-0.00638455423535+0j) (-1.02775170561+0j) 0.26928
(5.30223116257e-05+0j) (0.811961384469+0j) 0.26929
(-0.936663614073+0j) (-0.00700543546898+0j) 0.2693
(0.000340497490773+0j) (0.126438760038+0j) 0.26931
(-1.98882621572+0j) (-0.00329930109162+0j) 0.26932
(-0.848155645921+0j) (-5.0759646093e-05+0j) 0.26933
(-0.0170643186177+0j) (-0.384529652278+0j) 0.26934
(0.00418473283945+0j) (1.56801802082+0j) 0.26935
(-0.00475224350031+0j) (-1.38076605356+0j) 0.26936
(-1.65669439998+0j) (-2.5986718903e-05+0j) 0.26937
(-0.00228123229372+0j) (-2.87639997045+0j) 0.26938
(-7.62911033531+0j) (-3.70220369916e-08+0j) 0.26939
(-0.0461612649468+0j) (-1.7547286922+0j) 0.2694
(-1.17017486123e-06+0j) (-2.98010146177+0j) 0.26941
(1.82322150461+0j) (0.00359897932785+0j) 0.26942
(-3.63797880709e-12+0j) (131.434068414+0j) 0.26943
(-3.78221293573e-06+0j) (-11.3827754334+0j) 0.26944
(1.37845290737e-12+0j) (56.8250467396+0j) 0.26945
(-409.107594237+0j) (-1.5916157281e-12+0j) 0.26946
(-9.08796526428+0j) (-4.73726324479e-06+0j) 0.26947
(-1.76521476484+0j) (-0.161238222815+0j) 0.26948
(-2.03803601551e-07+0j) (-17.1108151114+0j) 0.26949
