eig1   eig2   A
(0.280889667358+0.453564864536j) (0.280889667358-0.453564864536j) 0.25627
(0.281622821043+0.453110006773j) (0.281622821043-0.453110006773j) 0.25628
(0.282355236972+0.452653964662j) (0.282355236972-0.452653964662j) 0.25629
(0.283087507931+0.452196367105j) (0.283087507931-0.452196367105j) 0.2563
(0.283820582996+0.451736613789j) (0.283820582996-0.451736613789j) 0.25631
(0.284554002015+0.451274984358j) (0.284554002015-0.451274984358j) 0.25632
(0.285288411003+0.45081106255j) (0.285288411003-0.45081106255j) 0.25633
(0.286019838617+0.4503473587j) (0.286019838617-0.4503473587j) 0.25634
(0.286754213021+0.449880109457j) (0.286754213021-0.449880109457j) 0.25635
(0.287486770294+0.449412336809j) (0.287486770294-0.449412336809j) 0.25636
(0.288225499317+0.448938919134j) (0.288225499317-0.448938919134j) 0.25637
(0.288960841232+0.448465967275j) (0.288960841232-0.448465967275j) 0.25638
(0.289695512585+0.447991742735j) (0.289695512585-0.447991742735j) 0.25639
(0.2904315257+0.447514938801j) (0.2904315257-0.447514938801j) 0.2564
(0.291167865618+0.447036201668j) (0.291167865618-0.447036201668j) 0.25641
(0.291904531688+0.446555523927j) (0.291904531688-0.446555523927j) 0.25642
(0.292641523188+0.446072898164j) (0.292641523188-0.446072898164j) 0.25643
(0.293379441515+0.445587920468j) (0.293379441515-0.445587920468j) 0.25644
(0.294117432883+0.445101142713j) (0.294117432883-0.445101142713j) 0.25645
(0.294854560256+0.444613180041j) (0.294854560256-0.444613180041j) 0.25646
(0.295592242817+0.444123088295j) (0.295592242817-0.444123088295j) 0.25647
(0.296330888385+0.443630585238j) (0.296330888385-0.443630585238j) 0.25648
(0.297069649128+0.443136226387j) (0.297069649128-0.443136226387j) 0.25649
(0.297808909042+0.442639746595j) (0.297808909042-0.442639746595j) 0.2565
(0.298548494503+0.442141253447j) (0.298548494503-0.442141253447j) 0.25651
(0.299288688447+0.441640546754j) (0.299288688447-0.441640546754j) 0.25652
(0.300028799307+0.441138086268j) (0.300028799307-0.441138086268j) 0.25653
(0.300769410158+0.44063346841j) (0.300769410158-0.44063346841j) 0.25654
(0.301509721955+0.440127230624j) (0.301509721955-0.440127230624j) 0.25655
(0.302250912763+0.439618558871j) (0.302250912763-0.439618558871j) 0.25656
(0.302994726957+0.439106236583j) (0.302994726957-0.439106236583j) 0.25657
(0.303736329914+0.438593585749j) (0.303736329914-0.438593585749j) 0.25658
(0.304477419223+0.438079436579j) (0.304477419223-0.438079436579j) 0.25659
(0.305220617746+0.437561956839j) (0.305220617746-0.437561956839j) 0.2566
(0.305962235761+0.437043707034j) (0.305962235761-0.437043707034j) 0.25661
(0.306705394942+0.436522499172j) (0.306705394942-0.436522499172j) 0.25662
(0.307448878555+0.435999172758j) (0.307448878555-0.435999172758j) 0.25663
(0.308192686584+0.435473718502j) (0.308192686584-0.435473718502j) 0.25664
(0.308936819014+0.434946127041j) (0.308936819014-0.434946127041j) 0.25665
(0.30968260059+0.434415444548j) (0.30968260059-0.434415444548j) 0.25666
(0.310427342175+0.433883575167j) (0.310427342175-0.433883575167j) 0.25667
(0.31117237489+0.433349564065j) (0.31117237489-0.433349564065j) 0.25668
(0.311917774259+0.432813347381j) (0.311917774259-0.432813347381j) 0.25669
(0.312663511802+0.432274935611j) (0.312663511802-0.432274935611j) 0.2567
(0.31340868341+0.43173497511j) (0.31340868341-0.43173497511j) 0.25671
(0.314155079782+0.431192158344j) (0.314155079782-0.431192158344j) 0.25672
(0.314901800546+0.430647126523j) (0.314901800546-0.430647126523j) 0.25673
(0.31564884568+0.430099869555j) (0.31564884568-0.430099869555j) 0.25674
(0.316396215159+0.429550377258j) (0.316396215159-0.429550377258j) 0.25675
(0.317143908963+0.428998639366j) (0.317143908963-0.428998639366j) 0.25676
(0.317891927068+0.42844464552j) (0.317891927068-0.42844464552j) 0.25677
(0.318640269454+0.427888385274j) (0.318640269454-0.427888385274j) 0.25678
(0.319388936101+0.427329848087j) (0.319388936101-0.427329848087j) 0.25679
(0.320137926989+0.426769023329j) (0.320137926989-0.426769023329j) 0.2568
(0.320887242097+0.426205900275j) (0.320887242097-0.426205900275j) 0.25681
(0.321636881408+0.425640468104j) (0.321636881408-0.425640468104j) 0.25682
(0.322386844902+0.425072715902j) (0.322386844902-0.425072715902j) 0.25683
(0.323137130074+0.424502634547j) (0.323137130074-0.424502634547j) 0.25684
(0.323887741399+0.423930209517j) (0.323887741399-0.423930209517j) 0.25685
(0.32463867688+0.423355431102j) (0.32463867688-0.423355431102j) 0.25686
(0.325389936499+0.422778287989j) (0.325389936499-0.422778287989j) 0.25687
(0.326141520235+0.422198768767j) (0.326141520235-0.422198768767j) 0.25688
(0.326893428071+0.421616861919j) (0.326893428071-0.421616861919j) 0.25689
(0.327645659987+0.421032555821j) (0.327645659987-0.421032555821j) 0.2569
(0.328398215966+0.420445838748j) (0.328398215966-0.420445838748j) 0.25691
(0.32915109599+0.419856698861j) (0.32915109599-0.419856698861j) 0.25692
(0.32990430004+0.419265124217j) (0.32990430004-0.419265124217j) 0.25693
(0.330657828101+0.418671102759j) (0.330657828101-0.418671102759j) 0.25694
(0.331411680152+0.418074622321j) (0.331411680152-0.418074622321j) 0.25695
(0.332165856179+0.417475670619j) (0.332165856179-0.417475670619j) 0.25696
(0.332920356164+0.416874235258j) (0.332920356164-0.416874235258j) 0.25697
(0.333675180089+0.416270303724j) (0.333675180089-0.416270303724j) 0.25698
(0.334430327939+0.415663863386j) (0.334430327939-0.415663863386j) 0.25699
(0.335185799696+0.415054901491j) (0.335185799696-0.415054901491j) 0.257
(0.335941595345+0.414443405168j) (0.335941595345-0.414443405168j) 0.25701
(0.336697714867+0.41382936142j) (0.336697714867-0.41382936142j) 0.25702
(0.337454158248+0.413212757125j) (0.337454158248-0.413212757125j) 0.25703
(0.338210925472+0.412593579036j) (0.338210925472-0.412593579036j) 0.25704
(0.338968016521+0.411971813776j) (0.338968016521-0.411971813776j) 0.25705
(0.339725431381+0.411347447838j) (0.339725431381-0.411347447838j) 0.25706
(0.340483170034+0.410720467585j) (0.340483170034-0.410720467585j) 0.25707
(0.341241232466+0.410090859244j) (0.341241232466-0.410090859244j) 0.25708
(0.34199929949+0.409458875491j) (0.34199929949-0.409458875491j) 0.25709
