eig1   eig2   A
(0.746174787651+0j) (0.0579193013367+0j) 0.1
(0.740980375207+0j) (0.0583253265835+0j) 0.101
(0.73572876188+0j) (0.0587416512921+0j) 0.102
(0.730419623799+0j) (0.0591686216632+0j) 0.103
(0.725052619999+0j) (0.0596066012092+0j) 0.104
(0.719627391297+0j) (0.0600559718803+0j) 0.105
(0.71414355907+0j) (0.0605171352834+0j) 0.106
(0.708600723939+0j) (0.0609905140032+0j) 0.107
(0.702998464331+0j) (0.0614765530352+0j) 0.108
(0.697336334924+0j) (0.0619757213438+0j) 0.109
(0.69161386495+0j) (0.062488513557+0j) 0.11
(0.685830556351+0j) (0.0630154518138+0j) 0.111
(0.679985881758+0j) (0.0635570877802+0j) 0.112
(0.674079282292+0j) (0.0641140048531+0j) 0.113
(0.668110165146+0j) (0.0646868205737+0j) 0.114
(0.662077900942+0j) (0.0652761892744+0j) 0.115
(0.655981820822+0j) (0.0658828049872+0j) 0.116
(0.649821213241+0j) (0.0665074046456+0j) 0.117
(0.643595320445+0j) (0.0671507716161+0j) 0.118
(0.637303334558+0j) (0.0678137396008+0j) 0.119
(0.630944393266+0j) (0.0684971969601+0j) 0.12
(0.624517575017+0j) (0.0692020915108+0j) 0.121
(0.618021893685+0j) (0.0699294358633+0j) 0.122
(0.611456292612+0j) (0.0706803133744+0j) 0.123
(0.604819637959+0j) (0.0714558848029+0j) 0.124
(0.598110711244+0j) (0.0722573957699+0j) 0.125
(0.591328200951+0j) (0.0730861851458+0j) 0.126
(0.584470693078+0j) (0.073943694506+0j) 0.127
(0.577536660443+0j) (0.0748314788252+0j) 0.128
(0.570524450546+0j) (0.0757512186119+0j) 0.129
(0.563432271757+0j) (0.0767047337243+0j) 0.13
(0.556258177524+0j) (0.0776939991591+0j) 0.131
(0.549000048262+0j) (0.0787211631649+0j) 0.132
(0.541655570487+0j) (0.0797885681079+0j) 0.133
(0.53422221267+0j) (0.0808987746146+0j) 0.134
(0.526697197176+0j) (0.0820545896364+0j) 0.135
(0.519077467473+0j) (0.0832590992387+0j) 0.136
(0.511359649623+0j) (0.084515707113+0j) 0.137
(0.503540006778+0j) (0.0858281800755+0j) 0.138
(0.4956143851+0j) (0.0872007021514+0j) 0.139
(0.487578149035+0j) (0.0886379392977+0j) 0.14
(0.479426103297+0j) (0.0901451174224+0j) 0.141
(0.471152398078+0j) (0.0917281171727+0j) 0.142
(0.462750412888+0j) (0.093393590094+0j) 0.143
(0.454212612867+0j) (0.095149102321+0j) 0.144
(0.445530369181+0j) (0.0970033141774+0j) 0.145
(0.436693731961+0j) (0.098966207239+0j) 0.146
(0.427691139566+0j) (0.101049375073+0j) 0.147
(0.418509040987+0j) (0.10326640083+0j) 0.148
(0.40913139756+0j) (0.105633355531+0j) 0.149
(0.39953901341+0j) (0.108169467629+0j) 0.15
(0.389708616945+0j) (0.110898041507+0j) 0.151
(0.379611570416+0j) (0.113847747923+0j) 0.152
(0.369212005689+0j) (0.117054488238+0j) 0.153
(0.358464040775+0j) (0.120564177885+0j) 0.154
(0.34730745557+0j) (0.124437070625+0j) 0.155
(0.335660638492+0j) (0.128754811919+0j) 0.156
(0.323408353576+0j) (0.133632671821+0j) 0.157
(0.31037876009+0j) (0.139242525375+0j) 0.158
(0.296295273718+0j) (0.14586099142+0j) 0.159
(0.280658327548+0j) (0.153987671612+0j) 0.16
(0.262367963157+0j) (0.164722559331+0j) 0.161
(0.237584034319+0j) (0.181905835977+0j) 0.162
(0.205922038988+0.0285313202753j) (0.205922038988-0.0285313202753j) 0.163
(0.202076590567+0.0488157138889j) (0.202076590567-0.0488157138889j) 0.164
(0.198208607797+0.0626998418908j) (0.198208607797-0.0626998418908j) 0.165
(0.194318108696+0.0738809516096j) (0.194318108696-0.0738809516096j) 0.166
(0.190405111392+0.0834494813264j) (0.190405111392-0.0834494813264j) 0.167
