eig1   eig2   A
(-0.496276507028+0j) (-1.07500147511+0j) 0.2089
(-0.493796108393+0j) (-1.08040133984+0j) 0.209
(-0.491359703482+0j) (-1.08575850509+0j) 0.2091
(-0.488965599784+0j) (-1.09107466323+0j) 0.2092
(-0.486612207937+0j) (-1.09635140347+0j) 0.2093
(-0.484298033178+0j) (-1.10159022042+0j) 0.2094
(-0.482021667683+0j) (-1.10679252176+0j) 0.2095
(-0.479781783683+0j) (-1.11195963511+0j) 0.2096
(-0.477577127271+0j) (-1.11709281423+0j) 0.2097
(-0.475406512801+0j) (-1.12219324462+0j) 0.2098
(-0.473268817828+0j) (-1.12726204858+0j) 0.2099
(-0.471162978515+0j) (-1.1323002898+0j) 0.21
(-0.469087985464+0j) (-1.13730897752+0j) 0.2101
(-0.467042879912+0j) (-1.14228907037+0j) 0.2102
(-0.465026750274+0j) (-1.14724147977+0j) 0.2103
(-0.463038728968+0j) (-1.15216707316+0j) 0.2104
(-0.461077989523+0j) (-1.15706667687+0j) 0.2105
(-0.459143743915+0j) (-1.16194107877+0j) 0.2106
(-0.457235240128+0j) (-1.16679103073+0j) 0.2107
(-0.455351759909+0j) (-1.17161725085+0j) 0.2108
(-0.453492616692+0j) (-1.17642042556+0j) 0.2109
(-0.451657153695+0j) (-1.18120121148+0j) 0.211
(-0.44984474215+0j) (-1.18596023723+0j) 0.2111
(-0.448054779675+0j) (-1.19069810505+0j) 0.2112
(-0.446286688755+0j) (-1.1954153923+0j) 0.2113
(-0.444539915344+0j) (-1.20011265288+0j) 0.2114
(-0.44281392756+0j) (-1.20479041853+0j) 0.2115
(-0.44110821447+0j) (-1.20944920003+0j) 0.2116
(-0.439422284967+0j) (-1.21408948833+0j) 0.2117
(-0.437755666714+0j) (-1.21871175563+0j) 0.2118
(-0.436107905165+0j) (-1.22331645631+0j) 0.2119
(-0.434478562646+0j) (-1.22790402792+0j) 0.212
(-0.432867217503+0j) (-1.23247489194+0j) 0.2121
(-0.431273463295+0j) (-1.23702945468+0j) 0.2122
(-0.429696908047+0j) (-1.24156810795+0j) 0.2123
(-0.428137173543+0j) (-1.24609122983+0j) 0.2124
(-0.426593894667+0j) (-1.25059918528+0j) 0.2125
(-0.425066718782+0j) (-1.25509232679+0j) 0.2126
(-0.423555305144+0j) (-1.25957099495+0j) 0.2127
(-0.422059324356+0j) (-1.26403551901+0j) 0.2128
(-0.420578457852+0j) (-1.26848621739+0j) 0.2129
(-0.419112397405+0j) (-1.27292339816+0j) 0.213
(-0.417660844672+0j) (-1.27734735952+0j) 0.2131
(-0.416223510758+0j) (-1.28175839021+0j) 0.2132
(-0.414800115808+0j) (-1.28615676993+0j) 0.2133
(-0.413390388619+0j) (-1.29054276975+0j) 0.2134
(-0.411994066273+0j) (-1.29491665242+0j) 0.2135
(-0.410610893793+0j) (-1.29927867278+0j) 0.2136
(-0.409240623813+0j) (-1.30362907804+0j) 0.2137
(-0.407883016267+0j) (-1.30796810811+0j) 0.2138
(-0.406537838096+0j) (-1.3122959959+0j) 0.2139
(-0.405204862964+0j) (-1.31661296761+0j) 0.214
(-0.403883870998+0j) (-1.32091924294+0j) 0.2141
(-0.402574648532+0j) (-1.32521503543+0j) 0.2142
(-0.401276987866+0j) (-1.32950055261+0j) 0.2143
(-0.399990687043+0j) (-1.33377599629+0j) 0.2144
(-0.398715549625+0j) (-1.33804156276+0j) 0.2145
(-0.397451384492+0j) (-1.34229744299+0j) 0.2146
(-0.396198005644+0j) (-1.34654382283+0j) 0.2147
(-0.394955232011+0j) (-1.35078088319+0j) 0.2148
(-0.393722887275+0j) (-1.35500880025+0j) 0.2149
(-0.392500799701+0j) (-1.35922774558+0j) 0.215
(-0.391288801972+0j) (-1.36343788636+0j) 0.2151
(-0.390086731035+0j) (-1.36763938548+0j) 0.2152
(-0.388894427951+0j) (-1.37183240173+0j) 0.2153
(-0.387711737753+0j) (-1.37601708993+0j) 0.2154
(-0.386538509312+0j) (-1.38019360106+0j) 0.2155
(-0.385374595206+0j) (-1.38436208238+0j) 0.2156
(-0.384219851593+0j) (-1.38852267759+0j) 0.2157
(-0.383074138095+0j) (-1.39267552691+0j) 0.2158
(-0.381937317685+0j) (-1.39682076721+0j) 0.2159
(-0.380809256574+0j) (-1.40095853214+0j) 0.216
(-0.379689824108+0j) (-1.4050889522+0j) 0.2161
(-0.378578892668+0j) (-1.40921215485+0j) 0.2162
(-0.377476337573+0j) (-1.41332826462+0j) 0.2163
(-0.376382036987+0j) (-1.41743740319+0j) 0.2164
(-0.375295871833+0j) (-1.4215396895+0j) 0.2165
(-0.374217725701+0j) (-1.4256352398+0j) 0.2166
(-0.373147484775+0j) (-1.42972416774+0j) 0.2167
(-0.372085037748+0j) (-1.4338065845+0j) 0.2168
(-0.371030275747+0j) (-1.43788259878+0j) 0.2169
(-0.369983092262+0j) (-1.44195231694+0j) 0.217
(-0.368943383074+0j) (-1.44601584306+0j) 0.2171
(-0.367911046191+0j) (-1.45007327896+0j) 0.2172
(-0.366885981777+0j) (-1.45412472434+0j) 0.2173
(-0.365868092097+0j) (-1.45817027677+0j) 0.2174
(-0.364857281451+0j) (-1.46221003181+0j) 0.2175
(-0.363853456117+0j) (-1.46624408302+0j) 0.2176
(-0.362856524297+0j) (-1.47027252204+0j) 0.2177
(-0.361866396062+0j) (-1.47429543865+0j) 0.2178
(-0.3608829833+0j) (-1.47831292082+0j) 0.2179
(-0.359906199666+0j) (-1.48232505473+0j) 0.218
(-0.358935960532+0j) (-1.48633192485+0j) 0.2181
(-0.357972182943+0j) (-1.490333614+0j) 0.2182
(-0.357014785572+0j) (-1.49433020333+0j) 0.2183
(-0.356063688671+0j) (-1.49832177246+0j) 0.2184
(-0.355118814035+0j) (-1.50230839942+0j) 0.2185
(-0.354180084961+0j) (-1.50629016077+0j) 0.2186
(-0.353247426204+0j) (-1.51026713159+0j) 0.2187
(-0.352320763944+0j) (-1.51423938557+0j) 0.2188
(-0.351400025745+0j) (-1.51820699497+0j) 0.2189
(-0.350485140522+0j) (-1.52217003072+0j) 0.219
(-0.349576038509+0j) (-1.52612856245+0j) 0.2191
(-0.348672651219+0j) (-1.53008265848+0j) 0.2192
(-0.347774911419+0j) (-1.53403238589+0j) 0.2193
(-0.346882753092+0j) (-1.53797781055+0j) 0.2194
(-0.345996111413+0j) (-1.54191899712+0j) 0.2195
(-0.345114922717+0j) (-1.54585600912+0j) 0.2196
(-0.344239124468+0j) (-1.54978890892+0j) 0.2197
(-0.343368655238+0j) (-1.5537177578+0j) 0.2198
(-0.342503454674+0j) (-1.55764261597+0j) 0.2199
(-0.341643463476+0j) (-1.56156354256+0j) 0.22
(-0.34078862337+0j) (-1.56548059569+0j) 0.2201
(-0.339938877084+0j) (-1.56939383248+0j) 0.2202
(-0.339094168327+0j) (-1.57330330907+0j) 0.2203
(-0.338254441763+0j) (-1.57720908064+0j) 0.2204
(-0.33741964299+0j) (-1.58111120144+0j) 0.2205
(-0.336589718519+0j) (-1.58500972479+0j) 0.2206
(-0.335764615751+0j) (-1.58890470315+0j) 0.2207
(-0.33494428296+0j) (-1.59279618808+0j) 0.2208
(-0.334128669271+0j) (-1.5966842303+0j) 0.2209
(-0.333317724642+0j) (-1.60056887971+0j) 0.221
(-0.332511399845+0j) (-1.60445018536+0j) 0.2211
(-0.331709646447+0j) (-1.60832819555+0j) 0.2212
(-0.330912416793+0j) (-1.61220295777+0j) 0.2213
(-0.330119663992+0j) (-1.61607451875+0j) 0.2214
(-0.329331341895+0j) (-1.61994292449+0j) 0.2215
(-0.328547405082+0j) (-1.62380822026+0j) 0.2216
(-0.327767808847+0j) (-1.6276704506+0j) 0.2217
(-0.32699250918+0j) (-1.63152965936+0j) 0.2218
(-0.326221462757+0j) (-1.63538588972+0j) 0.2219
(-0.325454626918+0j) (-1.63923918418+0j) 0.222
(-0.32469195966+0j) (-1.64308958459+0j) 0.2221
(-0.323933419621+0j) (-1.64693713214+0j) 0.2222
(-0.323178966066+0j) (-1.65078186743+0j) 0.2223
(-0.322428558872+0j) (-1.65462383042+0j) 0.2224
(-0.321682158521+0j) (-1.65846306046+0j) 0.2225
(-0.320939726083+0j) (-1.66229959634+0j) 0.2226
(-0.320201223205+0j) (-1.66613347625+0j) 0.2227
(-0.319466612101+0j) (-1.66996473781+0j) 0.2228
(-0.318735855538+0j) (-1.67379341811+0j) 0.2229
(-0.318008916829+0j) (-1.67761955368+0j) 0.223
(-0.317285759817+0j) (-1.68144318051+0j) 0.2231
(-0.316566348867+0j) (-1.68526433409+0j) 0.2232
(-0.315850648857+0j) (-1.68908304937+0j) 0.2233
(-0.315138625168+0j) (-1.69289936082+0j) 0.2234
(-0.314430243669+0j) (-1.69671330242+0j) 0.2235
(-0.313725470715+0j) (-1.70052490765+0j) 0.2236
